"","listing_id","03","04","05","06","07","09","10","12","08","11"
"99",462072,11,26,22,26,26,27,29,16,17,17
"100",468202,14,29,31,29,25,23,31,20,NA,30
"101",469231,17,25,24,17,24,19,15,2,12,14
"102",470132,17,27,31,30,27,29,30,16,23,29
"103",471198,11,23,17,25,13,20,16,17,NA,6
"104",471328,12,20,23,24,16,25,22,5,12,12
"105",479718,1,NA,NA,1,NA,11,31,31,NA,30
"106",482122,12,17,31,30,26,19,24,4,NA,17
"107",491070,17,30,31,30,9,24,31,31,NA,30
"108",493238,NA,NA,NA,8,31,6,NA,NA,31,NA
"109",497706,17,30,31,30,31,6,NA,NA,30,NA
"110",499911,16,26,25,25,25,26,30,26,26,25
"111",502918,12,25,20,19,30,28,26,14,31,17
"112",506956,8,15,10,11,12,14,17,26,2,NA
"113",507614,17,30,31,27,12,27,31,8,1,12
"114",514917,17,30,31,30,31,2,NA,NA,NA,NA
"115",515008,17,29,31,30,NA,30,31,31,NA,30
"116",518208,17,29,31,22,15,24,31,31,NA,30
"117",521329,17,30,9,21,31,24,31,31,27,30
"118",522563,9,9,NA,1,NA,16,4,25,NA,NA
"119",524003,12,27,23,23,30,27,30,31,31,30
"120",526162,17,30,31,30,31,29,31,31,31,30
"121",526513,17,28,26,26,30,29,29,16,25,8
"122",531677,15,29,29,28,31,29,31,31,30,30
"123",536574,17,30,31,30,31,29,31,31,31,30
"124",540937,3,26,29,26,17,25,26,9,9,20
"125",541406,17,30,31,9,NA,NA,NA,NA,NA,NA
"126",544736,17,30,31,9,NA,21,29,2,NA,28
"127",548995,14,27,30,30,30,29,29,31,27,15
"128",552183,15,28,16,23,18,21,10,NA,NA,NA
"129",558690,12,15,19,10,22,29,31,31,31,30
"130",560941,7,NA,NA,NA,NA,6,NA,NA,NA,NA
"131",565152,3,26,30,25,26,27,28,22,13,24
"132",566241,17,30,31,30,19,23,31,31,NA,30
"133",568190,17,30,31,30,31,30,30,31,31,29
"134",570158,17,26,24,30,28,24,31,3,14,23
"135",572048,17,30,31,30,31,29,31,31,31,30
"136",576487,15,19,18,17,18,16,22,NA,3,8
"137",578731,12,23,23,25,20,NA,NA,NA,NA,NA
"138",588382,17,30,31,30,31,29,31,31,31,30
"139",588518,15,24,29,18,28,21,28,25,26,NA
"140",590710,2,8,NA,21,28,13,25,NA,31,NA
"141",594298,15,28,17,26,28,19,23,14,28,14
"142",595055,17,30,31,9,NA,NA,NA,NA,NA,NA
"143",598771,17,30,31,30,31,29,31,31,31,30
"144",599134,3,NA,NA,3,NA,23,31,31,NA,30
"145",604150,17,30,31,30,30,4,31,NA,31,30
"146",604632,3,NA,NA,1,NA,1,23,NA,3,NA
